same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had an in-person job or internship,21 to 25,Office Work / Administrative Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"T/bus pass,Clothes/shoes,Eating out,Entertainment",Most of the time,Most of the time,Sometimes,This does not apply to me,This does not apply to me,This does not apply to me,Most of the time,Sometimes,Most of the time,Most of the time,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Both of my parents
No,I had a mix of in-person and virtual/remote work,26+,Peer Leader,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress)",,Yes,Yes,Yes,No,No,Yes,Yes,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Clothes/shoes,Eating out,Entertainment,I don't pay for any household bills",Most of the time,Sometimes,Sometimes,Never,Never,This does not apply to me,Sometimes,Most of the time,Most of the time,Sometimes,Never,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Several days,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
No,I had an in-person job or internship,26+,Health Care / Elder Care,Somewhat well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)","Enroll at a 4 year college/university,Enroll at a 2 year community college",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries,Utilities (gas/electric),Clothes/shoes,Eating out,Entertainment,Other household bills",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
Yes,I had an in-person job or internship,26+,Other,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Cell phone,Clothes/shoes",Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,This does not apply to me,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Hispanic or Latino,"Yes, Spanish",Only my mother
No,I had an in-person job or internship,26+,Office Work / Administrative Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer)",Enroll at a 4 year college/university,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,White (Not Hispanic or Latino),No other language,Both of my parents
Yes,I had a mix of in-person and virtual/remote work,11 to 15,Office Work / Administrative Work,Neither well nor poorly,Very likely,Mostly supportive,No,Yes,Yes,No,No,Yes,Neither Good Nor Bad,No,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Legal: (e.g.,  lawyer, judge, paralegal),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school)",Yes,No,Yes,No,No,No,No,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"T/bus pass,Rent/mortgage,Insurance",Sometimes,This does not apply to me,This does not apply to me,Most of the time,This does not apply to me,This does not apply to me,Sometimes,Most of the time,Never,Sometimes,Most of the time,Never,Most of the time,More than half the days,Several days,Not at all,Several days,Gender nonconforming,Prefer not to say,No other language,My grandparent(s)
No,I had an in-person job or internship,10 or less,Tutor,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Cell phone,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,More than half the days,More than half the days,More than half the days,More than half the days,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,26+,Day Care / Day Camp,Very well,Not sure / maybe,Often supportive,Yes,Yes,Yes,No,No,Yes,Somewhat Good,Yes,No,,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Sports: (e.g., coach, athlete)",Enroll at a 4 year college/university,No,No,No,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Clothes/shoes,Eating out,Entertainment",Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Several days,Not at all,Several days,Several days,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had an in-person job or internship,26+,Food Services,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,No,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Work part-time",Yes,No,No,Yes,Yes,Yes,No,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Clothes/shoes,Most of the time,Most of the time,Sometimes,This does not apply to me,This does not apply to me,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Not applicable (N/A),Not applicable (N/A),Not at all,Not at all,Not at all,Several days,Female,Hispanic or Latino,"Yes, Spanish",Only my mother
No,I had an in-person job or internship,26+,Peer Leader,Somewhat well,Not sure / maybe,Somewhat supportive,No,Yes,Yes,Yes,No,No,Somewhat Good,Yes,No,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),I don’t know","Work part-time,Take care of children and/or family members",,No,Yes,No,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,Not at all,Several days,Female,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,26+,Health Care / Elder Care,Somewhat well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,No,No,Yes,Yes,"Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Education: (e.g.,  teacher, professor, or daycare provider),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Prefer not to say,"I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",Prefer not to say,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Asian (Not Hispanic or Latino),"Yes, Chinese",Both of my parents
No,I had an in-person job or internship,26+,Arts / Theater / Photography / Media,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,No,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)","Enroll at a 4 year college/university,Work full-time,Work part-time,Take care of children and/or family members",Yes,No,No,No,Yes,Yes,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,School tuition,Clothes/shoes,Eating out",Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Sometimes,Most of the time,Never,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Female,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Both of my parents
